zip	latitude	longitude
03882	43.7	-71.0
03883	43.8	-71.3
03884	43.3	-71.2
03885	43.0	-70.9
03886	43.9	-71.3
03887	43.5	-71.1
03890	43.8	-71.2
03894	43.6	-71.2
03896	43.6	-71.2
03897	43.9	-71.4
03901	43.3	-70.9
03902	43.2	-70.6
03903	43.1	-70.8
03904	43.1	-70.7
03905	43.1	-70.7
03906	43.3	-70.7
03907	43.3	-70.6
03908	43.2	-70.8
03909	43.2	-70.7
03910	43.2	-70.6
03911	43.1	-70.6
04001	43.5	-70.9
04002	43.5	-70.7
04003	43.7	-70.0
04004	43.6	-70.5
04005	43.5	-70.5
04006	43.4	-70.3
04007	43.5	-70.5
04008	44.0	-69.9
04009	44.1	-70.7
04010	43.9	-70.9
04011	43.9	-70.0
04013	43.8	-70.1
04014	43.4	-70.6
04015	44.0	-70.5
04016	44.2	-70.9
04017	43.7	-70.1
04019	43.7	-70.1
04020	43.8	-70.8
04021	43.8	-70.3
04022	44.0	-70.8
04024	43.9	-70.7
04027	43.5	-70.9
04028	43.7	-70.8
04029	43.9	-70.7
04030	43.6	-70.7
04032	43.9	-70.1
04033	43.9	-70.1
04034	43.9	-70.1
04037	44.0	-71.0
04038	43.7	-70.5
04039	43.9	-70.3
04040	44.1	-70.7
04041	43.9	-70.9
04042	43.6	-70.6
04043	43.4	-70.5
04046	43.4	-70.5
04047	43.7	-70.9
04048	43.7	-70.8
04049	43.7	-70.7
04050	43.7	-70.2
04051	44.2	-70.9
04054	43.3	-70.6
04055	44.0	-70.6
04056	43.7	-70.9
04057	44.1	-70.7
04061	43.6	-70.7
04062	43.8	-70.4
04063	43.5	-70.4
04064	43.5	-70.4
04066	43.8	-70.0
04068	43.8	-70.9
04069	43.9	-70.2
04070	43.6	-70.3
04071	43.9	-70.4
04072	43.5	-70.5
04073	43.4	-70.8
04074	43.6	-70.3
04076	43.6	-70.8
04077	43.9	-70.5
04078	43.8	-70.1
04079	43.8	-70.0
04082	43.7	-70.4
04083	43.5	-70.8
04084	43.8	-70.5
04085	43.8	-70.6
04086	44.0	-69.9
04087	43.6	-70.7
04088	44.2	-70.7
04090	43.3	-70.6
04091	43.8	-70.7
04092	43.7	-70.4
04093	43.6	-70.5
04094	43.4	-70.6
04095	43.6	-70.9
04096	43.8	-70.2
04097	43.8	-70.2
04098	43.7	-70.4
04101	43.7	-70.3
04102	43.7	-70.3
04103	43.7	-70.3
04104	43.7	-70.3
04105	43.7	-70.3
04106	43.6	-70.3
04107	43.6	-70.2
04108	43.7	-70.2
04109	43.7	-70.2
04110	43.8	-70.2
04112	43.7	-70.3
04116	43.6	-70.2
04122	43.7	-70.3
04123	43.7	-70.3
04124	43.7	-70.3
04210	44.1	-70.2
04211	44.2	-70.2
04212	44.2	-70.2
04216	44.7	-70.8
